p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
1,29E-09;0.353205430402951;0.511;0.311;3,31E-04;4;PARP9
1,78E-08;0.312658596258074;0.379;0.202;4,59E-05;4;TBK1
2,23E-09;0.40787965607723;0.631;0.429;5,73E-04;4;DNAJA1
2,38E-09;0.399822595553213;0.553;0.365;6,12E-04;4;TACC1
2,46E-08;0.350105583819824;0.742;0.514;6,33E-04;4;RAP1GAP2
2,64E-08;0.348320794937918;0.587;0.378;6,78E-05;4;GIT2
2,66E-08;0.336712038018387;0.479;0.283;6,84E-04;4;RHBDF2
3,69E-08;0.277961730060136;0.36;0.184;9,48E-04;4;MBOAT1
3,77E-08;0.31248424902295;0.415;0.23;9,70E-04;4;ARL8B
5,30E-08;0.321057315843542;0.589;0.379;1,36E-05;4;CSGALNACT2
6,26E-08;0.313569853166193;0.362;0.19;1,61E-03;4;ARSB
7,03E-08;0.300199064694543;0.464;0.269;1,81E-03;4;ASAH1
1,03E-07;0.267491225324443;0.32;0.158;2,64E-03;4;RCBTB2
1,57E-07;0.3450286050948;0.517;0.325;4,05E-03;4;UBE2W
1,65E-07;0.30019192647724;0.347;0.175;4,25E-03;4;DAPK1
1,95E-07;0.250443366441422;0.311;0.152;5,01E-03;4;KDM6B
2,01E-08;0.266056263508896;0.331;0.166;5,17E-03;4;STK38L
2,12E-07;0.383571949958857;0.432;0.254;5,45E-03;4;SLC25A13
2,34E-07;0.298978664960081;0.453;0.26;6,03E-03;4;GLIPR2
2,53E-07;0.346012314447184;0.472;0.289;6,50E-03;4;SAMD9L
2,86E-07;0.296163774974999;0.405;0.222;7,35E-03;4;AC087286.2
3,31E-07;0.293208732574445;0.405;0.223;8,52E-03;4;ETF1
3,80E-07;0.343807093198495;0.617;0.43;9,77E-03;4;DYNLT1
4,30E-07;0.388550687886116;0.604;0.416;1,10E-02;4;DDX3X
4,91E-07;0.352953319117527;0.572;0.374;1,26E-02;4;RBPJ
5,79E-07;0.318280720124827;0.468;0.286;1,49E-03;4;ARRB2
6,23E-07;0.327668847555599;0.411;0.231;1,60E-02;4;KIF1B
6,96E-08;0.37111646215589;0.472;0.286;1,79E-02;4;CDK19
8,88E-07;0.253480643474386;0.294;0.143;2,28E-02;4;PML
1,43E-06;0.266982660636538;0.39;0.215;3,68E-02;4;RLIM
1,44E-06;0.340301741130884;0.648;0.462;3,70E-02;4;FMNL1
1,46E-06;0.353607771520396;0.739;0.526;3,75E-02;4;ITGAL
2,09E-06;0.309789565995686;0.521;0.322;5,36E-02;4;DLEU1
2,99E-06;0.344679617921548;0.405;0.226;7,69E-02;4;ZFHX3
4,24E-06;0.364765723344198;0.449;0.269;1,09E-01;4;DHRSX
4,24E-06;0.344307812666271;0.451;0.276;1,09E-01;4;ANKFY1
4,25E-06;0.374344095663846;0.826;0.664;1,09E-01;4;ITGA4
4,45E-06;0.290750386122592;0.451;0.263;1,14E-02;4;TNRC18
4,54E-06;0.305695290780116;0.434;0.254;1,17E-01;4;RNF138
4,89E-07;0.296163774974999;0.354;0.186;1,26E-01;4;S100Z
5,34E-06;0.298169946474558;0.303;0.152;1,37E-01;4;PLAGL1
7,09E-06;0.287476537183279;0.392;0.219;1,82E-01;4;ZNF516
7,37E-06;0.295313086620949;0.275;0.133;1,90E-01;4;LDLR
1,02E-05;0.279397727671956;0.32;0.164;2,62E-01;4;SERPINB9
1,02E-05;0.291466880668746;0.415;0.24;2,63E-01;4;ABHD2
1,18E-05;0.256364245577245;0.294;0.143;3,03E-01;4;GAB1
1,31E-05;0.271499224027091;0.364;0.2;3,36E-01;4;FAM91A1
1,35E-05;0.364532380870322;0.39;0.222;3,46E-01;4;CPEB3
1,60E-05;0.344299141295112;0.648;0.463;4,11E-01;4;AFF4
